capability_id,platform,impl,status,note
cap.enum.list,macos,avfoundation,native,
cap.enum.list,ios,avfoundation,native,
cap.enum.list,android,camera2ndk,native,
cap.enum.list,android,camerax,native,
cap.enum.list,linux,v4l2,native,
cap.enum.list,linux,libcamera,native,
cap.enum.list,linux,pipewire,native,
cap.enum.list,win32,mediafoundation,native,
cap.enum.list,web,getusermedia,native,
cap.enum.list,uvc-direct,uvc,native,
cap.enum.list,genicam,sfnc,native,
cap.device.id.stable,macos,avfoundation,native,
cap.device.id.stable,ios,avfoundation,native,
cap.device.id.stable,android,camera2ndk,native,
cap.device.id.stable,android,camerax,emulate,dev-cxnoid
cap.device.id.stable,linux,v4l2,native,
cap.device.id.stable,linux,libcamera,native,
cap.device.id.stable,linux,pipewire,native,
cap.device.id.stable,win32,mediafoundation,native,
cap.device.id.stable,web,getusermedia,native,
cap.device.id.stable,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.id.stable,genicam,sfnc,native,
cap.device.name.human,macos,avfoundation,native,
cap.device.name.human,ios,avfoundation,native,
cap.device.name.human,android,camera2ndk,deny,dev-c2noname
cap.device.name.human,android,camerax,deny,dev-c2noname
cap.device.name.human,linux,v4l2,native,
cap.device.name.human,linux,libcamera,native,
cap.device.name.human,linux,pipewire,native,
cap.device.name.human,win32,mediafoundation,native,
cap.device.name.human,web,getusermedia,native,
cap.device.name.human,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.name.human,genicam,sfnc,native,
cap.device.vendor.info,macos,avfoundation,native,
cap.device.vendor.info,ios,avfoundation,native,
cap.device.vendor.info,android,camera2ndk,deny,dev-c2nodvendor
cap.device.vendor.info,android,camerax,deny,dev-c2nodvendor
cap.device.vendor.info,linux,v4l2,native,
cap.device.vendor.info,linux,libcamera,emulate,dev-lcsysdev
cap.device.vendor.info,linux,pipewire,emulate,dev-pwprops
cap.device.vendor.info,win32,mediafoundation,emulate,dev-mfsymlink
cap.device.vendor.info,web,getusermedia,deny,dev-webdeny
cap.device.vendor.info,uvc-direct,uvc,native,
cap.device.vendor.info,genicam,sfnc,native,
cap.device.transport.type,macos,avfoundation,native,
cap.device.transport.type,ios,avfoundation,deny,dev-iostransport
cap.device.transport.type,android,camera2ndk,deny,dev-c2notransport
cap.device.transport.type,android,camerax,deny,dev-c2notransport
cap.device.transport.type,linux,v4l2,native,
cap.device.transport.type,linux,libcamera,emulate,dev-lcsysdev
cap.device.transport.type,linux,pipewire,emulate,dev-pwprops
cap.device.transport.type,win32,mediafoundation,native,
cap.device.transport.type,web,getusermedia,deny,dev-webdeny
cap.device.transport.type,uvc-direct,uvc,native,
cap.device.transport.type,genicam,sfnc,native,
cap.device.class.physical,macos,avfoundation,native,
cap.device.class.physical,ios,avfoundation,native,
cap.device.class.physical,android,camera2ndk,native,
cap.device.class.physical,android,camerax,native,
cap.device.class.physical,linux,v4l2,emulate,dev-v4l2physinfer
cap.device.class.physical,linux,libcamera,native,
cap.device.class.physical,linux,pipewire,emulate,dev-pwprops
cap.device.class.physical,win32,mediafoundation,native,
cap.device.class.physical,web,getusermedia,native,
cap.device.class.physical,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.class.physical,genicam,sfnc,native,
cap.device.class.virtual,macos,avfoundation,native,
cap.device.class.virtual,ios,avfoundation,native,
cap.device.class.virtual,android,camera2ndk,native,
cap.device.class.virtual,android,camerax,native,
cap.device.class.virtual,linux,v4l2,deny,dev-vlogicalnone
cap.device.class.virtual,linux,libcamera,deny,dev-vlogicalnone
cap.device.class.virtual,linux,pipewire,deny,dev-vlogicalnone
cap.device.class.virtual,win32,mediafoundation,deny,dev-vlogicalnone
cap.device.class.virtual,web,getusermedia,deny,dev-vlogicalnone
cap.device.class.virtual,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.class.virtual,genicam,sfnc,deny,dev-genconsumer
cap.device.class.external.uvc,macos,avfoundation,native,
cap.device.class.external.uvc,ios,avfoundation,native,
cap.device.class.external.uvc,android,camera2ndk,native,
cap.device.class.external.uvc,android,camerax,native,
cap.device.class.external.uvc,linux,v4l2,native,
cap.device.class.external.uvc,linux,libcamera,native,
cap.device.class.external.uvc,linux,pipewire,emulate,dev-pwprops
cap.device.class.external.uvc,win32,mediafoundation,emulate,dev-mfextcat
cap.device.class.external.uvc,web,getusermedia,deny,dev-webdeny
cap.device.class.external.uvc,uvc-direct,uvc,native,
cap.device.class.external.uvc,genicam,sfnc,deny,dev-genconsumer
cap.device.class.capture_card,macos,avfoundation,emulate,dev-capcardinfer
cap.device.class.capture_card,ios,avfoundation,deny,dev-ioscapcard
cap.device.class.capture_card,android,camera2ndk,deny,dev-c2nocapcard
cap.device.class.capture_card,android,camerax,deny,dev-c2nocapcard
cap.device.class.capture_card,linux,v4l2,native,
cap.device.class.capture_card,linux,libcamera,deny,dev-lccapcard
cap.device.class.capture_card,linux,pipewire,emulate,dev-pwprops
cap.device.class.capture_card,win32,mediafoundation,native,
cap.device.class.capture_card,web,getusermedia,deny,dev-webdeny
cap.device.class.capture_card,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.class.capture_card,genicam,sfnc,native,
cap.device.class.continuity,macos,avfoundation,native,
cap.device.class.continuity,ios,avfoundation,native,
cap.device.class.continuity,android,camera2ndk,deny,dev-noncontinuity
cap.device.class.continuity,android,camerax,deny,dev-noncontinuity
cap.device.class.continuity,linux,v4l2,deny,dev-noncontinuity
cap.device.class.continuity,linux,libcamera,deny,dev-noncontinuity
cap.device.class.continuity,linux,pipewire,deny,dev-noncontinuity
cap.device.class.continuity,win32,mediafoundation,deny,dev-noncontinuity
cap.device.class.continuity,web,getusermedia,deny,dev-noncontinuity
cap.device.class.continuity,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.class.continuity,genicam,sfnc,deny,dev-genconsumer
